datetime,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3day_mm,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,cloud_cover_percent,flood
2018-01-02 15:00:00,7.44,15.06,63.83,141.6,26.07,59.94,1009.29,8.83,58.06,0
2018-01-02 16:00:00,3.26,10.16,36.45,119.24,21.3,65.89,1001.43,4.29,29.49,0
2018-01-02 17:00:00,1.02,47.61,77.6,121.34,37.83,59.51,1009.52,5.75,44.65,0
2018-01-02 18:00:00,2.87,9.16,79.09,127.21,32.9,65.06,1018.04,5.52,43.69,0
2018-01-02 19:00:00,7.6,17.32,54.63,93.41,41.53,59.22,1010.73,11.22,50.15,0
2018-01-02 20:00:00,8.9,43.28,81.77,189.74,28.56,74.46,1005.42,11.26,63.43,0
2018-01-02 21:00:00,3.04,5.96,37.16,142.35,26.09,74.93,1009.14,10.67,15.49,0
2018-01-02 22:00:00,0.38,12.64,36.83,52.0,23.27,56.43,1007.64,8.95,22.52,0
2018-01-02 23:00:00,7.08,27.07,54.58,202.75,30.52,60.6,1019.6,19.87,37.56,0
2018-01-03 00:00:00,3.2,16.06,49.56,121.62,25.54,76.46,1007.98,1.78,59.46,0
2018-01-03 01:00:00,3.28,5.75,78.08,102.6,22.72,63.33,1001.33,20.4,49.36,0
2018-01-03 02:00:00,1.54,6.52,40.27,225.18,35.28,33.66,1024.33,8.22,40.27,0
2018-01-03 03:00:00,1.51,3.55,67.17,129.96,28.21,85.26,1009.7,5.12,70.93,0
2018-01-03 04:00:00,10.25,21.88,38.18,100.76,29.44,71.56,1007.26,7.03,54.52,0
2018-01-03 05:00:00,7.3,25.19,69.98,145.48,29.21,75.26,1010.6,0.99,67.35,0
2018-01-03 06:00:00,2.46,10.02,16.01,156.37,30.27,61.25,1011.26,14.62,49.93,0
2018-01-03 07:00:00,5.2,15.49,34.03,89.89,18.38,59.95,1014.16,32.59,41.55,0
2018-01-03 08:00:00,6.07,16.32,35.51,200.57,21.67,42.33,1010.94,9.88,27.27,0
2018-01-03 09:00:00,17.76,48.41,71.23,109.98,38.13,65.27,999.8,5.96,83.12,0
2018-01-03 10:00:00,1.35,17.21,80.71,140.71,27.74,66.74,1009.28,1.71,71.36,0
2018-01-03 11:00:00,6.0,20.35,26.96,38.64,30.27,58.14,1016.49,12.77,22.75,0
2018-01-03 12:00:00,10.21,37.57,106.39,170.12,32.38,79.51,1006.59,6.96,86.06,0
2018-01-03 13:00:00,16.19,19.91,25.76,54.69,25.94,74.32,1015.74,22.51,5.03,0
2018-01-03 14:00:00,2.32,18.03,43.33,76.34,22.12,61.63,1016.2,24.94,45.59,0
2018-01-03 15:00:00,3.16,11.82,38.15,68.12,20.49,59.4,1017.56,1.5,7.83,0
2018-01-03 16:00:00,8.68,42.21,125.81,203.16,22.46,92.28,1003.41,7.16,76.73,1
2018-01-03 17:00:00,0.61,28.13,79.34,155.14,24.21,60.93,1005.56,4.73,54.16,0
2018-01-03 18:00:00,6.54,15.2,116.92,240.64,23.81,75.32,1009.02,13.31,66.62,0
2018-01-03 19:00:00,22.79,33.59,145.29,206.69,20.91,81.02,998.84,6.55,99.21,1
2018-01-03 20:00:00,7.17,13.12,76.33,185.8,33.06,60.4,1004.93,6.54,49.52,0
2018-01-03 21:00:00,0.1,24.67,42.74,126.08,36.1,58.87,1012.99,6.01,43.18,0
2018-01-03 22:00:00,1.84,22.78,66.04,118.18,22.86,63.19,1000.27,8.88,73.36,0
2018-01-03 23:00:00,2.41,13.68,48.94,192.82,18.59,71.16,1002.31,12.03,31.57,0
2018-01-04 00:00:00,12.2,23.38,44.65,90.76,28.33,59.73,1013.99,4.85,54.37,0
2018-01-04 01:00:00,4.09,13.35,74.18,95.59,36.33,65.32,1002.3,31.35,93.52,0
2018-01-04 02:00:00,0.39,32.53,42.58,55.37,20.68,66.99,1024.96,18.53,43.86,0
2018-01-04 03:00:00,4.57,16.65,32.79,87.18,20.83,55.63,1006.75,9.04,13.42,0
2018-01-04 04:00:00,5.5,15.05,21.56,89.97,14.98,49.39,1006.83,1.36,36.83,0
2018-01-04 05:00:00,2.77,25.67,40.21,109.37,29.42,88.37,1004.49,4.45,38.03,0
2018-01-04 06:00:00,1.47,2.46,19.79,31.39,22.5,57.62,1012.12,10.97,51.16,0
2018-01-04 07:00:00,24.66,35.31,64.51,161.62,32.84,68.48,1009.64,4.11,37.55,1
2018-01-04 08:00:00,10.24,35.38,99.44,160.37,31.99,69.82,1011.36,17.51,71.05,0
2018-01-04 09:00:00,11.01,48.15,70.4,189.6,36.22,52.25,1009.19,7.08,54.1,0
2018-01-04 10:00:00,4.1,11.95,76.91,153.9,34.03,63.28,1014.81,10.67,59.28,0
2018-01-04 11:00:00,2.28,21.53,131.84,238.9,19.29,67.19,1007.12,5.4,82.62,0
2018-01-04 12:00:00,2.92,10.72,81.62,108.18,26.47,74.75,1008.16,12.59,64.22,0
2018-01-04 13:00:00,0.88,50.12,65.47,184.87,34.27,70.56,1011.74,16.83,67.02,1
2018-01-04 14:00:00,17.49,32.51,52.03,144.47,20.47,69.78,1001.27,15.69,47.84,0
2018-01-04 15:00:00,4.27,25.11,90.3,137.55,25.92,61.03,1004.12,18.6,78.77,0
2018-01-04 16:00:00,14.52,15.82,34.98,217.09,28.38,40.92,1020.18,8.87,54.25,0
2018-01-04 17:00:00,3.08,12.25,47.01,308.52,27.73,40.37,1002.33,17.95,39.92,1
2018-01-04 18:00:00,7.26,30.25,75.65,123.79,29.63,72.22,1014.65,15.71,35.07,0
2018-01-04 19:00:00,5.79,9.48,63.18,188.44,24.26,62.02,998.72,1.43,48.06,0
2018-01-04 20:00:00,0.74,15.74,54.06,127.68,22.85,51.55,1002.93,10.79,30.86,0
2018-01-04 21:00:00,19.22,57.5,69.77,173.98,30.48,72.65,1006.5,5.78,73.65,1
2018-01-04 22:00:00,3.18,27.06,51.37,138.6,27.02,72.54,1013.19,18.78,47.85,0
2018-01-04 23:00:00,1.18,20.92,91.75,214.47,39.63,70.52,1008.9,19.38,78.91,0
2018-01-05 00:00:00,8.74,18.35,51.23,66.35,21.89,57.99,1013.02,17.04,56.58,0
2018-01-05 01:00:00,4.81,9.54,104.71,206.86,27.68,71.2,1006.49,12.6,94.03,0
2018-01-05 02:00:00,6.69,19.47,59.29,149.64,20.71,76.97,1009.94,4.84,66.34,0
2018-01-05 03:00:00,5.29,26.74,43.6,122.93,30.01,73.01,1011.47,5.84,27.12,0
2018-01-05 04:00:00,0.14,6.09,55.16,210.31,26.86,62.25,1015.64,5.73,37.2,1
2018-01-05 05:00:00,1.76,25.49,98.71,132.53,30.88,73.72,1018.03,3.97,73.09,1
2018-01-05 06:00:00,1.67,17.29,53.6,172.41,24.07,100.0,1005.58,8.58,72.2,0
2018-01-05 07:00:00,10.88,17.8,54.51,98.89,17.88,85.54,1010.12,9.2,28.28,1
2018-01-05 08:00:00,4.99,7.78,50.86,104.54,35.02,64.21,1009.04,37.14,47.45,0
2018-01-05 09:00:00,7.65,11.28,57.77,105.78,32.95,79.3,1012.37,1.56,61.58,0
2018-01-05 10:00:00,3.39,15.8,35.75,114.26,33.19,64.88,1018.63,15.26,33.95,0
2018-01-05 11:00:00,7.99,37.26,44.03,164.13,32.89,77.36,1011.81,2.69,69.49,1
2018-01-05 12:00:00,4.11,11.12,61.94,135.87,28.55,58.62,1007.88,6.02,42.85,0
2018-01-05 13:00:00,3.81,35.76,68.85,201.29,31.36,74.42,1015.63,8.8,51.8,0
2018-01-05 14:00:00,5.75,8.2,51.75,110.45,23.01,74.17,1009.87,5.19,57.36,1
2018-01-05 15:00:00,5.29,19.36,48.25,71.47,25.71,63.12,1010.47,7.78,40.98,0
2018-01-05 16:00:00,30.78,43.79,87.84,174.6,34.24,66.2,1012.85,1.59,75.73,0
2018-01-05 17:00:00,1.74,19.74,35.37,100.93,39.16,63.29,1005.08,6.72,59.4,1
2018-01-05 18:00:00,0.62,16.04,41.01,220.5,29.81,48.49,1004.56,17.05,36.55,0
2018-01-05 19:00:00,6.56,16.07,31.15,68.28,10.0,56.34,1006.83,42.16,0.0,0
2018-01-05 20:00:00,2.06,11.64,37.04,133.24,29.95,55.84,1010.23,15.78,60.29,0
2018-01-05 21:00:00,0.1,25.74,36.34,110.53,35.8,69.76,1016.86,6.44,59.51,0
2018-01-05 22:00:00,1.27,15.9,70.12,95.02,26.33,72.45,1007.15,18.51,30.49,0
2018-01-05 23:00:00,25.89,27.1,108.63,127.14,22.48,80.69,1006.57,16.91,78.15,1
2018-01-06 00:00:00,1.68,11.98,23.16,42.7,33.29,70.62,1013.04,8.86,33.05,0
2018-01-06 01:00:00,0.32,11.37,44.75,164.68,26.05,51.56,1006.74,3.78,38.02,0
2018-01-06 02:00:00,24.68,35.68,64.57,137.4,26.01,82.48,1008.35,17.79,60.6,0
2018-01-06 03:00:00,1.2,24.3,107.98,213.46,18.82,83.27,1009.01,6.68,79.78,0
2018-01-06 04:00:00,37.8,46.19,81.19,189.91,18.93,55.56,1012.99,2.28,62.75,1
2018-01-06 05:00:00,3.24,19.63,88.25,101.27,32.6,78.35,1014.62,15.21,72.27,0
2018-01-06 06:00:00,19.29,58.01,109.87,307.27,21.2,80.15,1008.35,3.11,100.0,1
2018-01-06 07:00:00,3.73,33.14,73.52,211.08,37.73,72.04,1008.94,5.58,47.4,0
2018-01-06 08:00:00,7.3,15.07,36.79,109.13,38.97,52.02,1010.64,27.44,28.27,0
2018-01-06 09:00:00,4.2,19.16,59.68,160.71,22.26,65.33,1011.93,5.87,65.27,0
2018-01-06 10:00:00,3.75,4.28,19.13,50.25,24.2,64.8,1019.67,4.21,41.77,0
2018-01-06 11:00:00,6.07,26.66,51.5,78.3,31.88,64.4,1022.07,1.95,31.11,0
2018-01-06 12:00:00,7.54,11.95,17.87,84.45,36.4,44.75,1021.62,6.52,18.58,0
2018-01-06 13:00:00,5.64,19.07,95.15,141.05,28.93,68.27,1015.0,11.34,65.01,1
2018-01-06 14:00:00,5.1,17.17,54.29,130.22,24.42,68.09,1005.99,6.94,40.64,1
2018-01-06 15:00:00,2.08,30.47,105.15,159.32,25.87,71.87,1010.41,16.37,61.16,1
2018-01-06 16:00:00,4.37,20.86,56.85,187.93,28.62,83.82,1009.18,2.74,72.28,0
2018-01-06 17:00:00,17.43,29.43,67.42,166.87,25.04,74.44,1009.96,5.23,45.86,0
2018-01-06 18:00:00,1.97,23.57,73.4,121.3,34.71,75.13,1019.13,11.66,64.59,0
2018-01-06 19:00:00,6.23,37.8,69.32,178.85,24.18,69.09,1017.22,10.97,57.71,0
2018-01-06 20:00:00,13.37,14.19,42.89,74.81,30.53,58.15,1015.73,5.39,44.54,0
2018-01-06 21:00:00,7.6,15.76,41.64,112.73,32.19,79.3,1024.62,2.67,47.84,0
2018-01-06 22:00:00,10.98,50.45,66.18,199.2,28.05,63.07,1014.82,16.38,46.71,0
2018-01-06 23:00:00,1.17,53.66,79.64,94.92,26.76,69.93,1017.65,3.97,64.57,0
2018-01-07 00:00:00,6.25,13.13,77.51,236.92,27.87,68.01,1013.07,5.51,28.86,0
2018-01-07 01:00:00,3.53,28.87,53.1,108.87,23.21,50.64,1012.13,13.23,29.65,0
2018-01-07 02:00:00,3.7,10.56,118.13,252.76,32.26,80.6,1019.02,3.7,87.45,0
2018-01-07 03:00:00,16.28,21.53,28.1,83.95,27.28,69.72,1008.1,11.91,30.79,0
2018-01-07 04:00:00,3.76,16.14,82.36,103.53,26.62,64.01,1002.06,28.04,46.4,1
2018-01-07 05:00:00,6.44,33.87,61.72,111.46,21.98,63.08,1006.03,3.82,47.52,0
2018-01-07 06:00:00,0.32,11.5,57.44,207.85,38.71,57.06,1008.71,10.31,64.41,0
2018-01-07 07:00:00,19.27,46.45,63.11,145.66,32.71,84.23,1015.37,17.96,85.53,1
2018-01-07 08:00:00,10.44,39.39,47.54,183.99,19.97,67.82,1017.63,4.92,23.53,0
2018-01-07 09:00:00,4.54,13.78,71.69,128.65,31.11,81.01,1006.57,2.7,41.46,1
2018-01-07 10:00:00,3.37,12.38,87.04,128.42,24.65,66.48,1006.92,8.71,96.32,0
2018-01-07 11:00:00,8.3,19.72,53.58,184.89,23.0,70.15,1008.92,12.71,46.72,0
2018-01-07 12:00:00,13.24,27.06,51.29,123.38,23.97,48.54,1011.44,5.38,57.31,0
2018-01-07 13:00:00,19.47,32.04,64.08,155.3,30.85,60.49,1010.79,10.01,58.28,0
2018-01-07 14:00:00,10.15,24.96,56.95,152.92,27.21,85.53,1012.84,11.31,56.83,0
2018-01-07 15:00:00,5.17,14.97,42.43,56.77,27.72,66.7,1006.8,6.04,28.4,0
2018-01-07 16:00:00,11.51,16.32,52.82,165.04,29.56,61.2,1005.8,0.91,49.47,0
2018-01-07 17:00:00,9.79,55.48,103.11,135.32,33.16,55.14,1005.05,2.95,72.58,0
2018-01-07 18:00:00,5.19,13.34,58.24,76.56,40.71,67.29,1011.18,12.53,64.05,0
2018-01-07 19:00:00,9.54,12.24,33.02,84.34,26.55,56.73,1005.75,6.99,61.47,0
2018-01-07 20:00:00,9.39,32.2,60.08,124.76,25.66,74.29,1006.39,2.53,43.89,0
2018-01-07 21:00:00,4.51,10.2,24.32,194.11,28.58,44.84,1014.71,7.08,38.6,0
2018-01-07 22:00:00,2.71,23.94,67.94,184.21,31.88,76.13,1017.97,4.16,59.0,0
2018-01-07 23:00:00,8.69,16.54,34.3,51.62,34.03,56.64,1013.74,11.57,45.03,0
2018-01-08 00:00:00,1.37,52.92,56.44,147.03,22.53,54.79,1005.59,10.43,56.52,0
2018-01-08 01:00:00,0.98,35.96,58.44,130.0,41.34,67.36,1014.42,5.43,66.05,0
2018-01-08 02:00:00,6.54,18.37,63.86,100.25,21.52,84.67,1007.9,2.54,46.58,0
2018-01-08 03:00:00,8.49,28.26,75.49,183.87,32.9,75.81,1017.37,4.99,35.96,0
2018-01-08 04:00:00,6.49,23.49,88.89,258.19,32.13,74.09,1012.04,10.58,58.31,0
2018-01-08 05:00:00,7.17,14.77,133.91,210.23,20.29,73.73,1004.07,2.68,86.12,1
2018-01-08 06:00:00,8.36,30.6,63.51,120.13,29.48,80.6,1011.38,6.32,72.54,0
2018-01-08 07:00:00,16.33,31.04,59.81,138.94,18.4,69.24,1003.9,2.67,64.59,0
2018-01-08 08:00:00,10.3,26.61,62.61,153.42,23.44,46.52,1011.68,8.17,79.75,0
2018-01-08 09:00:00,10.04,31.0,55.89,282.43,27.63,72.67,1009.72,14.98,50.35,1
2018-01-08 10:00:00,6.07,18.9,31.73,75.71,28.78,63.1,1022.4,4.87,51.08,0
2018-01-08 11:00:00,6.29,13.08,25.04,70.46,34.85,58.28,1013.17,11.61,34.26,0
2018-01-08 12:00:00,4.14,23.92,54.29,183.58,24.19,77.16,1011.4,16.89,36.3,0
2018-01-08 13:00:00,6.97,30.6,109.63,162.55,30.0,67.32,997.23,4.04,65.65,1
2018-01-08 14:00:00,1.27,24.99,48.63,62.05,33.09,58.44,1014.46,8.79,0.48,0
2018-01-08 15:00:00,16.39,40.46,93.19,263.76,27.68,69.95,1015.58,8.65,78.45,1
2018-01-08 16:00:00,1.81,19.83,89.79,254.71,27.97,75.23,1015.74,1.61,92.38,0
2018-01-08 17:00:00,10.29,13.16,65.4,93.65,19.99,60.61,1010.09,14.96,66.32,0
2018-01-08 18:00:00,14.75,67.85,124.01,200.49,19.1,67.3,1005.58,21.87,93.47,1
2018-01-08 19:00:00,10.27,33.77,46.61,64.63,23.37,61.28,1017.58,7.3,61.96,0
2018-01-08 20:00:00,27.68,37.95,65.21,187.4,35.66,61.62,1010.28,10.75,41.57,0
2018-01-08 21:00:00,0.16,26.14,35.17,153.92,35.68,77.73,1011.59,8.6,41.17,0
2018-01-08 22:00:00,2.91,8.02,28.51,101.25,34.87,39.45,1010.35,3.97,31.76,0
2018-01-08 23:00:00,14.55,35.88,47.67,188.98,30.04,72.28,1000.1,12.01,54.48,0
2018-01-09 00:00:00,0.92,12.06,57.81,77.55,30.87,44.81,1006.87,3.95,44.93,0
2018-01-09 01:00:00,1.89,7.26,19.03,104.58,25.74,57.46,1012.82,9.61,57.34,0
2018-01-09 02:00:00,7.9,13.19,25.16,38.62,25.95,48.52,1015.12,21.14,55.55,0
2018-01-09 03:00:00,5.11,24.12,55.54,91.23,16.83,49.29,1010.9,5.59,27.62,0
2018-01-09 04:00:00,7.46,28.13,34.29,51.97,29.15,74.19,1014.49,15.58,70.68,0
2018-01-09 05:00:00,5.55,11.94,124.21,310.22,30.59,84.43,1000.09,12.83,91.77,0
2018-01-09 06:00:00,6.05,17.31,44.15,181.86,24.61,63.35,1006.68,18.48,46.18,0
2018-01-09 07:00:00,2.13,19.8,88.67,103.21,33.02,72.05,1021.41,10.96,77.93,0
2018-01-09 08:00:00,5.87,14.95,27.47,116.58,34.76,52.08,1015.57,15.41,48.26,0
2018-01-09 09:00:00,3.14,50.46,91.4,106.09,21.82,66.63,1016.57,9.99,50.18,1
2018-01-09 10:00:00,3.64,22.82,69.75,182.07,40.71,60.44,1009.2,2.28,72.15,0
2018-01-09 11:00:00,10.17,23.02,37.95,166.22,30.99,56.36,1016.83,4.72,35.43,0
2018-01-09 12:00:00,0.85,29.57,84.21,197.61,36.53,67.82,1015.01,24.86,99.1,1
2018-01-09 13:00:00,0.04,20.39,40.45,129.25,24.22,75.37,1022.37,9.96,9.4,0
2018-01-09 14:00:00,9.53,27.32,50.85,115.37,35.98,69.87,1013.45,13.06,44.3,0
2018-01-09 15:00:00,5.87,25.31,40.14,125.17,31.64,65.12,1006.37,2.05,31.64,0
2018-01-09 16:00:00,14.74,38.66,95.17,131.97,26.39,61.98,1005.85,10.83,75.38,0
2018-01-09 17:00:00,1.95,10.34,50.69,139.84,21.95,68.38,1012.75,17.93,44.33,0
2018-01-09 18:00:00,4.37,6.51,45.07,103.07,28.06,37.99,998.39,10.29,37.67,0
2018-01-09 19:00:00,5.3,35.68,73.46,91.37,32.29,61.07,1012.49,0.62,35.02,0
2018-01-09 20:00:00,2.46,17.22,56.74,89.02,28.42,52.65,1013.83,4.5,44.7,0
2018-01-09 21:00:00,1.65,11.4,30.69,158.53,28.49,56.58,1019.33,7.0,48.45,0
2018-01-09 22:00:00,9.96,16.72,68.57,88.1,25.32,64.25,1001.52,13.16,63.61,0
2018-01-09 23:00:00,0.73,6.73,23.73,103.99,20.72,54.7,1006.62,3.22,30.68,0
2018-01-10 00:00:00,1.31,17.27,55.5,110.87,28.98,64.58,1011.64,2.5,40.23,0
2018-01-10 01:00:00,4.22,17.94,47.45,79.51,22.89,64.81,1011.12,17.72,35.29,0
2018-01-10 02:00:00,10.98,39.96,62.46,205.74,33.23,79.41,1010.92,0.96,39.99,0
2018-01-10 03:00:00,2.66,23.68,53.79,212.47,32.62,56.35,1015.99,18.87,42.45,0
2018-01-10 04:00:00,2.28,25.91,64.44,85.92,37.18,58.03,1012.48,5.34,60.32,0
2018-01-10 05:00:00,3.96,31.92,83.63,165.4,25.92,68.74,1017.75,15.78,69.6,0
2018-01-10 06:00:00,6.84,23.43,57.61,118.8,27.77,68.17,1017.0,11.76,41.41,0
2018-01-10 07:00:00,3.34,41.46,102.27,181.87,19.9,73.55,1006.05,11.5,56.35,1
2018-01-10 08:00:00,12.21,20.23,40.41,349.52,24.95,80.31,1013.09,18.81,64.75,0
2018-01-10 09:00:00,12.64,40.21,66.96,122.74,27.97,75.29,1013.51,14.05,49.89,0
2018-01-10 10:00:00,4.22,6.32,52.77,93.55,28.43,78.0,1020.67,5.25,35.01,0
2018-01-10 11:00:00,22.17,24.4,36.98,105.44,25.91,65.94,1012.87,19.76,42.67,0
2018-01-10 12:00:00,5.18,10.16,66.07,159.22,24.56,67.5,1013.64,6.94,50.43,0
2018-01-10 13:00:00,12.29,25.19,38.58,92.29,29.34,36.39,1009.34,30.96,59.33,0
2018-01-10 14:00:00,6.66,8.51,103.71,396.81,26.36,73.89,1012.13,27.62,65.93,1
2018-01-10 15:00:00,6.55,19.12,39.49,78.09,35.21,58.56,1006.29,9.03,24.86,0
2018-01-10 16:00:00,0.47,10.69,100.64,214.58,29.39,69.83,1006.23,6.29,74.6,0
2018-01-10 17:00:00,1.16,51.22,104.33,282.33,25.06,83.35,1015.72,3.87,75.12,0
2018-01-10 18:00:00,3.53,7.34,17.78,25.62,33.96,44.6,1016.71,7.44,20.45,0
2018-01-10 19:00:00,12.56,28.01,44.38,142.98,22.47,73.53,1018.29,13.73,37.68,0
2018-01-10 20:00:00,6.75,27.44,39.09,79.06,25.85,67.99,1022.98,8.58,49.35,0
2018-01-10 21:00:00,3.57,39.99,66.42,98.89,22.23,68.8,1015.43,15.83,74.18,0
2018-01-10 22:00:00,8.56,31.82,92.23,156.87,26.6,79.33,1011.05,9.68,51.94,0
2018-01-10 23:00:00,12.18,42.8,125.52,296.07,35.55,59.22,1005.86,15.36,85.11,0
2018-01-11 00:00:00,4.86,21.94,36.6,168.4,29.03,64.94,1009.07,5.09,49.74,0
2018-01-11 01:00:00,6.02,13.34,26.39,44.04,18.5,44.41,1012.21,16.57,48.85,0
2018-01-11 02:00:00,5.3,8.71,51.18,182.4,25.89,67.24,1010.96,20.51,66.63,0
2018-01-11 03:00:00,4.56,29.31,40.06,79.35,29.47,49.65,1015.98,2.7,21.67,0
2018-01-11 04:00:00,1.92,11.74,71.51,224.89,29.6,59.33,1006.13,1.71,55.72,0
2018-01-11 05:00:00,1.74,3.26,53.26,64.6,27.04,59.47,1008.36,10.18,54.82,0
2018-01-11 06:00:00,8.51,19.13,53.73,157.4,32.23,61.24,1012.95,7.07,33.07,0
2018-01-11 07:00:00,12.37,26.02,84.24,119.83,31.22,71.46,1002.7,11.51,66.7,0
2018-01-11 08:00:00,3.56,37.29,94.29,224.71,27.17,78.43,1017.06,6.3,46.36,0
2018-01-11 09:00:00,3.47,14.84,31.03,230.16,29.31,83.96,1016.26,15.05,21.84,0
2018-01-11 10:00:00,0.26,13.99,26.72,92.2,27.23,52.39,1013.12,3.42,8.93,0
2018-01-11 11:00:00,15.12,29.02,60.72,108.71,28.31,66.53,1005.79,3.86,42.18,0
2018-01-11 12:00:00,2.09,29.22,88.34,147.42,29.05,69.32,1009.23,1.03,27.3,0
2018-01-11 13:00:00,2.62,10.13,25.63,95.12,33.59,48.25,1015.69,5.14,45.6,0
2018-01-11 14:00:00,7.3,26.04,39.43,140.94,30.6,41.71,1008.5,6.39,44.79,1
2018-01-11 15:00:00,7.5,16.59,30.6,49.93,28.02,50.24,1003.74,4.65,34.41,0
2018-01-11 16:00:00,3.51,36.72,60.66,89.89,25.77,59.57,1013.23,23.34,37.22,0
2018-01-11 17:00:00,4.42,42.88,45.13,123.36,31.65,58.54,1013.01,19.86,12.63,0
2018-01-11 18:00:00,6.73,22.23,39.65,110.65,29.75,47.07,1009.2,17.62,46.82,0
2018-01-11 19:00:00,2.18,19.96,64.79,92.44,27.47,62.85,1022.47,15.33,40.04,0
2018-01-11 20:00:00,18.08,29.66,88.57,237.4,26.33,68.39,1005.81,17.46,65.19,0
2018-01-11 21:00:00,1.65,3.87,116.59,160.04,28.36,66.19,1015.89,7.28,94.89,0
2018-01-11 22:00:00,3.95,17.95,48.74,273.99,24.33,70.55,1014.67,25.6,19.68,0
2018-01-11 23:00:00,2.97,15.99,37.27,136.23,20.07,43.82,1013.55,9.9,41.69,0
2018-01-12 00:00:00,5.51,15.92,113.8,237.58,36.66,77.49,1020.67,7.92,82.08,0
